x,lx
0,1e+05
1,99983.1774957655
2,99968.0597179309
3,99954.3481835521
4,99941.7744662838
5,99931.1347076493
6,99920.4850920639
7,99909.8256016404
8,99899.156218443
9,99888.4769244872
10,99878.3595657169
11,99868.2332266402
12,99858.0978916486
13,99847.9535450931
14,99837.8001712841
15,99826.4974049088
16,99815.183599317
17,99803.8587333803
18,99792.5808973434
19,99780.9051653785
20,99768.8316758534
21,99756.3605718939
22,99743.3922450196
23,99729.9268870665
24,99715.8649673755
25,99701.1070193603
26,99685.6533477723
27,99669.4045862766
28,99652.2614486877
29,99634.1247371041
30,99614.8953510298
31,99594.4742974829
32,99572.762702086
33,99549.5622483764
34,99524.7744073766
35,99498.2012926098
36,99469.6453088388
37,99438.9091884384
38,99405.6965927694
39,99369.8111362995
40,99330.9575401452
41,99288.8412141481
42,99243.0690583484
43,99193.2490376811
44,99138.9903304575
45,99079.8043532302
46,99015.2043207919
47,98944.6064801112
48,98867.3307424502
49,98782.7991746654
50,98690.1409090396
51,98588.4900639033
52,98476.887893151
53,98354.3826446119
54,98219.8338491541
55,98071.9147793772
56,97909.311544673
57,97730.4312324809
58,97533.6021439787
59,97317.0775472191
60,97078.7480243059
61,96816.5383258923
62,96527.9282251428
63,96210.2548133538
64,95860.6267473621
65,95475.9380522249
66,95052.7886947775
67,94587.3151885392
68,94075.5978133692
69,93513.2138896408
70,92895.372085472
71,92217.0500785039
72,91472.7662673203
73,90656.6462466832
74,89762.4997447522
75,88783.8192100352
76,87713.7078370966
77,86544.9226801673
78,85270.1159690884
79,83881.5774006478
80,82371.7090074362
81,80732.7591133152
82,78957.2035421361
83,77037.9907956374
84,74968.5962868849
85,72743.3034433013
86,70357.6868068783
87,67808.6981715519
88,65095.265305519
89,62218.7055316682
90,59183.1171074836
91,55995.8695187772
92,52716.5482682073
93,49331.7839893219
94,45863.332641583
95,42336.8515570743
96,38781.6909667889
97,35230.7131997992
98,31718.9367352579
99,28283.2287081541
100,24960.8789062395
101,21787.3072722824
102,18795.8275047661
103,16016.3186167568
104,13471.6372519758
105,11178.4821100626
106,9142.95033864487
107,7376.36848820999
108,5856.07931719924
109,4591.34316824023
