Age,AM92,AF92
17,0.000427,0.000113
18,0.000426,0.000117
19,0.000425,0.000121
20,0.000425,0.000125
21,0.000425,0.00013
22,0.000427,0.000135
23,0.000429,0.000141
24,0.000431,0.000148
25,0.000435,0.000155
26,0.00044,0.000163
27,0.000447,0.000172
28,0.000455,0.000182
29,0.000465,0.000193
30,0.000476,0.000205
31,0.00049,0.000218
32,0.000507,0.000233
33,0.000527,0.000249
34,0.00055,0.000267
35,0.000577,0.000287
36,0.000608,0.000309
37,0.000644,0.000334
38,0.000685,0.000361
39,0.000733,0.000391
40,0.000788,0.000424
41,0.000851,0.000461
42,0.000922,0.000502
43,0.001003,0.000547
44,0.001096,0.000597
45,0.001201,0.000652
46,0.00132,0.000713
47,0.001455,0.000781
48,0.001607,0.000855
49,0.001778,0.000938
50,0.001971,0.00103
51,0.002189,0.001132
52,0.002433,0.001244
53,0.002707,0.001368
54,0.003014,0.001506
55,0.003358,0.001658
56,0.003742,0.001827
57,0.004171,0.002014
58,0.004649,0.00222
59,0.005182,0.002449
60,0.005774,0.002701
61,0.006433,0.002981
62,0.007164,0.003291
63,0.007974,0.003634
64,0.008871,0.004013
65,0.009864,0.004432
66,0.01096,0.004897
67,0.012169,0.00541
68,0.013502,0.005978
69,0.014969,0.006607
70,0.016582,0.007302
71,0.018353,0.008071
72,0.020296,0.008922
73,0.022423,0.009863
74,0.02475,0.010903
75,0.027293,0.012053
76,0.030067,0.013325
77,0.03309,0.01473
78,0.036379,0.016284
79,0.039954,0.018
80,0.043833,0.019897
81,0.048037,0.021993
82,0.052586,0.024307
83,0.057501,0.026862
84,0.062804,0.029683
85,0.068516,0.032795
86,0.074661,0.036229
87,0.081258,0.040016
88,0.088331,0.04419
89,0.095902,0.048789
90,0.10399,0.053854
