age,USSS2007M,USSS2007F,USSS2000M,USSS2000F,USSS1990M,USSS1990F
0,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
1,99262,99390,99241,99377,98972,99185
2,99213,99347,99187,99332,98896,99120
3,99182,99322,99150,99302,98844,99083
4,99158,99303,99122,99283,98804,99053
5,99138,99288,99100,99264,98771,99028
6,99120,99275,99081,99248,98742,99007
7,99104,99262,99062,99233,98714,98987
8,99089,99250,99044,99219,98688,98969
9,99075,99238,99027,99206,98664,98953
10,99065,99228,99013,99194,98645,98937
11,99056,99218,99000,99183,98629,98922
12,99047,99208,98987,99171,98613,98907
13,99032,99196,98969,99157,98589,98889
14,99007,99180,98938,99138,98549,98866
15,98968,99160,98892,99114,98487,98837
16,98912,99133,98829,99084,98399,98801
17,98841,99101,98749,99048,98287,98757
18,98754,99064,98654,99007,98157,98709
19,98654,99025,98548,98964,98015,98659
20,98541,98983,98432,98920,97867,98609
21,98414,98939,98307,98875,97714,98560
22,98275,98894,98173,98830,97556,98511
23,98128,98846,98035,98783,97392,98461
24,97980,98796,97896,98736,97226,98410
25,97834,98746,97761,98689,97056,98356
26,97693,98694,97631,98640,96885,98299
27,97555,98640,97505,98590,96711,98240
28,97419,98584,97381,98539,96534,98178
29,97284,98527,97257,98485,96352,98112
30,97147,98466,97129,98427,96163,98042
31,97009,98403,96998,98366,95966,97969
32,96868,98336,96863,98300,95762,97892
33,96724,98266,96722,98229,95550,97810
34,96576,98190,96574,98151,95329,97723
35,96423,98108,96415,98066,95098,97631
36,96264,98020,96245,97974,94854,97533
37,96096,97925,96063,97873,94599,97428
38,95919,97822,95866,97763,94333,97317
39,95729,97709,95654,97642,94058,97198
40,95525,97586,95426,97511,93777,97073
41,95303,97452,95180,97369,93487,96939
42,95062,97305,94915,97213,93186,96796
43,94800,97144,94627,97045,92870,96640
44,94517,96968,94316,96864,92536,96468
45,94209,96776,93978,96671,92178,96279
46,93875,96566,93611,96464,91795,96069
47,93513,96336,93214,96240,91382,95838
48,93120,96087,92788,96000,90936,95582
49,92691,95819,92337,95741,90456,95302
50,92224,95530,91862,95463,89937,94994
51,91716,95219,91361,95162,89375,94656
52,91165,94885,90830,94836,88766,94286
53,90572,94526,90260,94481,88102,93881
54,89940,94143,89644,94094,87380,93439
55,89270,93737,88976,93670,86593,92958
56,88558,93304,88248,93205,85737,92436
57,87800,92841,87457,92695,84806,91869
58,86995,92342,86600,92138,83794,91251
59,86138,91804,85675,91529,82697,90577
60,85227,91220,84678,90865,81510,89843
61,84254,90585,83605,90141,80226,89043
62,83217,89895,82446,89351,78841,88174
63,82111,89147,81197,88492,77357,87236
64,80935,88340,79853,87558,75777,86234
65,79684,87473,78409,86546,74103,85166
66,78351,86537,76859,85448,72330,84028
67,76929,85524,75195,84257,70452,82812
68,75411,84427,73412,82971,68465,81511
69,73792,83236,71505,81591,66369,80119
70,72066,81944,69471,80113,64161,78629
71,70223,80537,67300,78526,61840,77031
72,68254,79008,64991,76820,59405,75318
73,66161,77355,62554,74994,56858,73487
74,63947,75580,60005,73048,54202,71538
75,61612,73679,57353,70978,51444,69468
76,59147,71638,54595,68769,48592,67266
77,56545,69441,51726,66410,45656,64923
78,53811,67090,48753,63898,42652,62439
79,50951,64587,45685,61233,39601,59818
80,47974,61930,42532,58414,36523,57062
81,44882,59109,39310,55434,33438,54168
82,41683,56112,36035,52289,30369,51135
83,38401,52942,32730,48990,27346,47972
84,35063,49608,29421,45552,24400,44694
85,31699,46123,26141,41996,21560,41320
86,28341,42504,22932,38346,18848,37870
87,25024,38776,19837,34636,16286,34374
88,21785,34973,16901,30905,13893,30866
89,18670,31141,14164,27201,11687,27385
90,15722,27333,11660,23579,9683,23976
91,12986,23610,9414,20098,7891,20687
92,10501,20038,7444,16817,6317,17566
93,8297,16680,5755,13789,4961,14658
94,6393,13593,4342,11059,3817,12001
95,4794,10824,3191,8660,2874,9627
96,3496,8415,2283,6614,2116,7560
97,2479,6384,1589,4924,1522,5808
98,1711,4726,1076,3573,1070,4364
99,1149,3415,710,2526,735,3207
100,754,2411,456,1742,494,2306
101,481,1659,285,1168,323,1619
102,298,1111,172,761,206,1108
103,179,722,101,479,128,737
104,104,454,57,291,77,476
105,58,275,31,170,44,297
106,31,160,16,95,25,179
107,16,90,8,51,13,103
108,8,48,4,26,7,57
109,4,24,2,12,3,30
110,2,11,1,5,2,15
111,1,5,,2,1,7
112,,2,,1,,3
113,,1,,,,1
